record_id,reviewer_1_risk_category,reviewer_1_meaning_preserved,reviewer_1_missing_or_changed,reviewer_1_missing_or_changed_details,reviewer_1_comments,reviewer_2_risk_category,reviewer_2_meaning_preserved,reviewer_2_missing_or_changed,reviewer_2_missing_or_changed_details,reviewer_2_comments,reviewer_3_risk_category,reviewer_3_meaning_preserved,reviewer_3_missing_or_changed,reviewer_3_missing_or_changed_details,reviewer_3_comments
cuad::LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf::21::44186::44467::b172118df6db::unsupported,Safe,No,Yes,"Plain-English adds an unsupported claim about a ""first year"" timeframe/condition for video delivery that isn't stated anywhere in the original bullet-point fragment.","Original text is a fragmented bullet list, hard to verify full context.",Safe,No,Yes,Adds unstated assumption about 'first year' and omits video duration (60s to 3m).,Inaccurate timeframe added.,Safe,No,Yes,"1. Added Unsubstantiated Claims: The plain-english version introduces details about a ""first year"" delivery timeframe and lack of conditions that are not mentioned in the original clause text.
2. Omitted Key Details: It leaves out specific required content types (Event promotion, Motivational, Real Estate), length requirements (1-2 paragraphs for copy, 60 seconds to 3+ minutes for videos), and filming location specifications (""Studio or in the field of Tarek"").
3. Irrelevant Regulation Text: The provided supporting regulation text (12 CFR § 1005.20 regarding gift cards and gift certificates) is entirely unrelated to the content production deliverables described in the clause.",The summary introduces assumptions not found in the contract and leaves out several important content specifications.
external::converted_contract_nli::data-sharing::507_nda-10_0::ff3f98b7c2e1::supported,Data Sharing,Yes,No,—,"Accurate, concise summary of the confidentiality and non-disclosure obligations.",Data Sharing,Yes,No,,,Safe,No,Yes,"The plain-English version only describes Holdings’ obligation to keep information confidential and omits the mutual obligation that Big Sky and its representatives must also keep the existence and status of discussions confidential. It also omits that confidentiality obligations apply to officers, directors, employees, agents, and representatives, and that the information may only be used for evaluating the Transaction. Additionally, the supporting regulation text provided is unrelated to this confidentiality agreement.","The plain-English version captures the general idea of confidentiality but is incomplete because it removes important mutual obligations, scope limitations, and permitted-use restrictions. The cited regulation text is unrelated to the clause."
external::converted_contract_nli::data-sharing::82_nda-10_0::0cae0224d844::supported,Data Sharing,Yes,No,,"Original clause is cut off mid-sentence (ends at ""...to whom disclosure""); summary only covers the complete portion.",Data Sharing,Yes,No,,,Safe,No,Yes,"The plain-English version captures the general confidentiality obligation but omits important details from the original clause. It does not mention that the obligation applies whether or not the sale negotiations proceed, that confidential information includes analyses or documents created using the information, and that employees, agents, advisers, and other authorised parties must also follow the confidentiality requirements. The supporting regulation text about credit card disputes is unrelated to this confidentiality agreement.","The plain-english text misinterprets the primary legal consideration (supplying information vs. ""helping with the business"") and relies on a completely mismatched credit card regulation citation."
cuad::LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT.pdf::3::22098::22260::6595682c48a9::supported,Safe,Yes,Yes,"Omits that effectiveness is ""subject to the commencement date established in Section 1.3"" — plain version implies an unconditional immediate start.",,Safe,Yes,No,,,Safe,No,Yes,"The plain-English version omits the important qualification that the agreement is subject to the commencement date established in Section 1.3. While it suggests the agreement starts immediately, the original clause indicates that the effective date may be governed by another provision in the contract. Additionally, the supporting regulation text about Truth in Lending APR and fees is unrelated to this agreement effectiveness clause.",The summary captures the general concept of immediate effectiveness but removes a material contractual condition regarding the commencement date. The supporting regulatory text is unrelated to the clause.
cuad::LOOKSMARTLTD_07_20_2012-EX-99.(D)(I)-SPONSORSHIP AGREEMENT.pdf::3::4661::325::518e996c78ec::supported,Safe,Yes,No,,Consistent with the date shown in the omitted text block above the clause.,Safe,Yes,No,,,Safe,No,Yes,"The plain-English version only mentions the effective date and omits important details about the parties involved in the agreement, including PEEK Investments LLC as the Purchaser and the other identified parties as Sponsors. The supporting regulation text regarding mortgage loan appraisal requirements is unrelated to this sponsorship agreement clause.",The summary correctly identifies the agreement start date but is incomplete because it removes the identities and roles of the contracting parties. The regulatory text provided is unrelated to the clause.
cuad::CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.pdf::3::9679::9874::45536603665d::unsupported,Safe,No,Yes,"Changes ""shall commence upon April 1, 1999"" to ""commence after April 1, 1999"" — ""after"" vs. ""upon/on"" shifts the actual start date.",,Safe,No,Yes,"Original says 'upon April 1', Plain-English says 'after April 1'.",Date condition changed.,Safe,No,Yes,"The plain-English version changes the agreement start date by stating it begins “after April 1, 1999,” while the original clause states that it begins “upon April 1, 1999.” This changes the effective date of the agreement. Additionally, the supporting regulation text regarding Truth in Lending record retention and APR disclosures is unrelated to this website hosting agreement clause.","The summary introduces a semantic error by changing the effective start date. The original clause establishes that the agreement begins on April 1, 1999, not after that date. The regulatory text provided is unrelated to the clause."
cuad-external-penalty-clause-224925339a185b1b::unsupported,Penalty Clause,No,Yes,Plain-English adds an entire extra sentence/exception (a reduced 5X liquidated-damages cap for proprietary-information violations) that does not appear anywhere in the original clause.,"Major fabricated addition, not a paraphrase issue.",Penalty Clause,No,Yes,Adds a 5X damages exception for proprietary info not in original.,,Penalty Clause,No,Yes,The plain-English version adds a new exception that does not exist in the original clause. The original agreement states that a violation results in liquidated damages equal to 100 times the employee’s then-current base annual salary. It does not include any reduced 5X salary limit for proprietary information disclosures. The supporting regulation text regarding prepaid accounts and overdraft services is unrelated to this liquidated damages clause.,The summary materially changes the contract by introducing a fabricated exception that reduces the potential damages amount. The regulatory text provided is also unrelated to the clause.
external::converted_contract_nli::data-sharing::39_nda-10_0::5c5828c7cce8::supported,Data Sharing,Yes,Yes,,"Captures the confidentiality obligation and the carve-outs (public info, independent development, legal process) accurately.",Data Sharing,No,Yes,Inverts exception logic regarding independently developed or legally received info.,Exception conditions inverted.,Safe,No,Yes,"The plain-English version incorrectly changes the meaning of the confidentiality exceptions. The original clause states that information that is publicly disclosed by a legally authorized source or independently developed by the receiving party is excluded from confidentiality restrictions. The summary incorrectly suggests that such information cannot be shared. It also omits the requirement to notify the County if disclosure is required through judicial process. Additionally, the supporting regulation text regarding mortgage transfer disclosures is unrelated to this confidentiality clause.",The summary captures the general confidentiality obligation but reverses the meaning of key exceptions and omits an important notice requirement. The regulatory text provided is unrelated to the clause.
cuad::NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT.pdf::21::7466::9128::2456992c4586::unsupported,Safe,No,Yes,"Invents a specific date (""February 28"") not present in the original, and omits nearly all substantive terms — the annual Final BCF Report, 90-day notice period, 35%/50% BCF allocation formula, and true-up payment mechanism.","Major loss of substantive content, not just simplification.",Safe,No,Yes,Adds specific date 'On February 28' which is not in the original text.,Extra date constraint added.,Safe,No,Yes,"The plain-English version incorrectly adds a specific date (“February 28”) that is not stated in the original clause. It also omits major contractual requirements, including monthly BCF Report delivery within 30 days after each End Date, annual Final BCF Reports, payment true-up obligations, and the detailed calculation method for revenue sharing and equipment cost deductions. The supporting regulation text regarding mortgage loan disclosures is unrelated to this outsourcing agreement clause.","The summary is materially incomplete and introduces an unsupported date. It fails to capture the reporting obligations, payment adjustments, and financial calculation terms contained in the original clause. The regulatory text provided is unrelated."
cuad::BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.pdf::36::28615::29244::b18011200ba7::unsupported,Penalty Clause,No,Yes,Meaning is inverted: original says BNL pays a cancellation fee if it gives LESS than six months notice; plain-English says it will NOT pay a fee if it gives MORE than six months notice.,,Penalty Clause,No,Yes,Original applies penalty for less than 6 months notice; Plain-English says more than 6 months and waives it.,Penalty condition inverted.,Penalty Clause,No,Yes,"The plain-English version reverses the condition that triggers the cancellation fee. The original clause requires BNL to pay a cancellation fee if it terminates during an Extended Term with less than six (6) months’ notice. The summary incorrectly states that the fee does not apply when BNL gives more than six (6) months’ notice, which changes the meaning of the clause. The supporting regulation text regarding credit card interest rates and fees is unrelated to this outsourcing agreement cancellation fee provision.",The summary materially changes the contractual obligation by reversing the notice period condition and incorrectly describing when the cancellation fee applies. The regulatory text provided is unrelated.
