Metric,Current_Result,Proposal_Target,Pass_Fail,Historical_Baseline,Baseline_Comparable,Notes
SARI,50.42,>40,PASS,49.89 (2026-07-21 run),Yes,Stable pass across runs
BERTScore F1,0.893,>0.88,PASS,0.895 (2026-07-21 run),Yes,Stable pass across runs
Flesch-Kincaid Grade,9.37,<=9,FAIL,9.89 (2026-07-21 run),Yes,"2026-07-22: lowered fk_generation_target 8.0->7.0 and raised simplifier_retries 5->7 (build margin below the 9.0 acceptance ceiling, since aiming exactly at 8.0 was landing a full-benchmark mean above 9.0 even though most individual candidates met the 8.0 aim). Full-FLB mean moved 9.89->9.37 across two real rebuilds. Closest of the three RQs to passing."
RQ2 Risk Macro-F1 (prompted, deployed),0.153,>0.75,FAIL,0.563 (documented 2026-07-21),No -- did not reproduce,"IMPORTANT 2026-07-22 finding: the documented 0.563 did NOT reproduce in any live full-FLB run this session, including the first validation run made before any RQ2 code changes (0.187) and the final run after all fixes (0.153). Confusion matrix shows the classifier abstaining to 'Needs Review' for the large majority of clauses regardless of true label (e.g. 13/14 Auto-Renewal, 14/14 Data Sharing) because risk_require_evidence_for_risk=True forces abstention when no relevant evidence is retrieved, and retrieval recall is near-zero (see retrieval rows below). This is the same root cause as the RQ3 failure, not a separate S5 bug, and predates this session's changes (the untouched-code first run already failed to reproduce 0.563)."
RQ2 Risk Macro-F1 (retrained S5 v2, NOT deployed),0.431,>0.75,FAIL,0.256 (broken 2026-07-21 LoRA attempt),Yes,"2026-07-22: root-caused the prior LoRA collapse as a genuine data bug: CUAD has ZERO 'Data Sharing' clauses (verified empirically), so the classifier had 0 training examples for that class, and the validation split used for model selection only covered 2 of 6 classes (32 rows), making its reported 1.0 macro-F1 vacuous. Fixed both: backfilled Data Sharing training data from LegalBench's OPP-115 third-party-sharing task (2,364 real privacy-policy segments, disjoint from the flb_external_gold/silver pool FLB's own eval candidates are drawn from -- no leakage), and replaced validation with a stratified per-class held-out slice. Retrained: internal stratified validation macro-F1 0.593 (credible, vs the old vacuous 1.0); real FLB score 0.431 -- improved over the broken 0.256 but still below both the (non-reproducing) deployed baseline and the 0.75 target. Not deployed; risk_classifier_backend stays prompted."
RQ3 Faithfulness Precision (chunk-grounded; proposal-exact primary),0.0,>0.90,FAIL,1.00 (degenerate single-prediction, 2026-07-21),No,2026-07-22 full rebuild: 0 positive predictions at all (down from 1). Same retrieval-coverage root cause as recall row below.
RQ3 Faithfulness Recall (chunk-grounded; proposal-exact primary),0.0,>0.80,FAIL,0.006 (2026-07-21),No,"Root-caused 2026-07-22: FLB's clauses are general commercial/B2B contracts (CUAD: consulting agreements, licensing, M&A) but the regulatory corpus was entirely consumer-lending-focused (FCA mortgage/consumer-credit handbooks, CFPB Reg Z/X/E) -- confirmed by inspecting an actual FLB 'ground truth' match that pointed a consulting-agreement auto-renewal clause at UK mortgage-tenancy law. Added UCC 2-718/2-719 (liquidated damages/limitation of remedies) and GDPR Art 6/28 (data processing/sharing) as genuinely on-topic new sources. CONFIRMED INSUFFICIENT AT THIS SCALE: new sources add only ~11 of 3,851 total chunks (<0.3%), too small to move aggregate recall. A real fix needs a corpus with genuine breadth across CUAD's ~40 contract categories (plausibly hundreds of source documents) -- out of scope this session; documented as open, not claimed fixed."
RQ3 Faithfulness Precision (source-clause; secondary/proxy),N/A this run,>0.90,N/A,0.906 (2026-07-21),No,Not recomputed in the 2026-07-22 runs (focus was the primary chunk-grounded metric and its shared root cause with RQ2); historical figure retained for reference only.
RQ3 Faithfulness Recall (source-clause; secondary/proxy),N/A this run,>0.80,N/A,0.637 (2026-07-21),No,Same as above.
RQ3 Retrieval-conditioned decomposition (diagnostic only; n=12),0.0 / 0.0,"N/A (mechanism evidence, not a headline)",N/A,N/A,No,"Degenerate 95% CI [0.0,0.0]; explains but does not resolve the primary headline"
